tissue,gtex.egenes,vt.egenes,vt.distinct.egenes,lrt.egenes,lrt.distinct.egenes,skat.egenes,skat.distinct.egenes,acat.egenes,acat.distinct.egenes,acat.o.egenes,acat.o.distinct.egenes
Adipose_Subcutaneous,15607,111,7,1260,142,1210,103,311,13,716,49
Adipose_Visceral_Omentum,12482,77,7,519,83,411,44,105,10,279,32
Adrenal_Gland,8123,0,0,36,8,10,1,6,0,6,0
Artery_Aorta,12493,67,7,473,78,287,37,53,3,178,22
Artery_Coronary,6296,0,0,14,5,3,0,2,0,2,0
Artery_Tibial,15008,119,11,1448,143,1306,91,307,22,772,53
Brain_Amygdala,3726,0,0,0,0,0,0,0,0,0,0
Brain_Anterior_cingulate_cortex_BA24,5640,0,0,0,0,0,0,0,0,0,0
Brain_Caudate_basal_ganglia,8362,0,0,47,11,18,4,5,2,6,2
Brain_Cerebellar_Hemisphere,10027,0,0,71,13,3,0,2,0,2,0
Brain_Cerebellum,11240,18,4,152,30,37,3,4,1,26,3
Brain_Cortex,9082,8,0,71,15,17,0,1,0,12,0
Brain_Frontal_Cortex_BA9,7335,0,0,33,9,2,0,0,0,0,0
Brain_Hippocampus,5517,0,0,13,6,0,0,1,0,0,0
Brain_Hypothalamus,5499,0,0,6,1,0,0,0,0,0,0
Brain_Nucleus_accumbens_basal_ganglia,8198,5,0,50,11,6,1,0,0,1,0
Brain_Putamen_basal_ganglia,6902,0,0,0,0,1,1,1,1,1,1
Brain_Spinal_cord_cervical_c-1,4483,0,0,0,0,0,0,0,0,0,0
Brain_Substantia_nigra,3301,0,0,0,0,0,0,0,0,0,0
Breast_Mammary_Tissue,10872,39,6,239,47,153,14,41,6,109,14
Cells_Cultured_fibroblasts,15219,130,5,1418,112,1273,85,268,12,758,43
Cells_EBV-transformed_lymphocytes,4934,0,0,0,0,0,0,0,0,0,0
Colon_Sigmoid,10550,28,2,147,22,74,5,16,1,52,5
Colon_Transverse,11686,27,1,224,32,127,15,34,3,79,4
Esophagus_Gastroesophageal_Junction,10534,60,10,245,44,147,20,36,3,111,16
Esophagus_Mucosa,14675,98,11,895,109,719,64,150,11,439,41
Esophagus_Muscularis,14110,91,10,855,109,674,53,174,9,414,30
Heart_Atrial_Appendage,10991,34,5,267,51,150,20,49,5,109,13
Heart_Left_Ventricle,9642,29,2,231,40,163,21,34,2,91,12
Kidney_Cortex,1260,0,0,0,0,0,0,0,0,0,0
Liver,5734,0,0,29,5,1,0,0,0,0,0
Lung,14113,90,7,619,78,605,56,136,13,372,35
Minor_Salivary_Gland,4836,0,0,0,0,0,0,0,0,0,0
Muscle_Skeletal,13532,107,8,1347,135,1348,113,481,33,977,69
Nerve_Tibial,17285,152,10,1690,152,1485,98,323,16,806,47
Ovary,5542,0,0,0,0,1,1,1,1,0,0
Pancreas,9660,22,2,172,43,74,6,15,0,46,5
Pituitary,9146,5,1,118,28,38,9,6,1,19,2
Prostate,7356,0,0,50,13,6,0,2,0,2,0
Skin_Not_Sun_Exposed_Suprapubic,15483,137,10,980,114,970,84,217,24,542,41
Skin_Sun_Exposed_Lower_leg,16967,171,8,1458,123,1536,98,493,26,1030,61
Small_Intestine_Terminal_Ileum,6681,6,2,16,1,0,0,0,0,0,0
Spleen,10783,7,0,60,7,4,0,0,0,1,0
Stomach,8771,27,5,100,19,46,6,12,0,36,6
Testis,18795,58,4,520,78,321,35,75,6,188,20
Thyroid,17684,232,19,1943,166,1862,116,516,22,1123,57
Uterus,3577,0,0,0,0,0,0,0,0,0,0
Vagina,3730,0,0,0,0,1,1,1,1,1,1
Whole_Blood,12360,164,18,1248,128,1349,119,475,33,930,78
