tissue,total.samples,eur.samples,genes
Adipose_Subcutaneous,581,467,24665
Adipose_Visceral_Omentum,469,383,24724
Adrenal_Gland,233,193,23820
Artery_Aorta,387,321,23959
Artery_Coronary,213,170,24529
Artery_Tibial,584,465,23304
Brain_Amygdala,129,115,24069
Brain_Anterior_cingulate_cortex_BA24,147,129,24342
Brain_Caudate_basal_ganglia,194,165,24718
Brain_Cerebellar_Hemisphere,175,151,25144
Brain_Cerebellum,209,182,25461
Brain_Cortex,205,177,24849
Brain_Frontal_Cortex_BA9,175,153,24676
Brain_Hippocampus,165,145,24420
Brain_Hypothalamus,170,150,25096
Brain_Nucleus_accumbens_basal_ganglia,202,174,24890
Brain_Putamen_basal_ganglia,170,149,23804
Brain_Spinal_cord_cervical_c-1,126,110,24669
Brain_Substantia_nigra,114,97,24044
Breast_Mammary_Tissue,396,317,25849
Cells_Cultured_fibroblasts,483,397,22050
Cells_EBV-transformed_lymphocytes,147,111,22759
Colon_Sigmoid,318,256,24483
Colon_Transverse,368,289,25379
Esophagus_Gastroesophageal_Junction,330,268,24168
Esophagus_Mucosa,497,403,23949
Esophagus_Muscularis,465,377,23871
Heart_Atrial_Appendage,372,308,23194
Heart_Left_Ventricle,386,320,21353
Kidney_Cortex,73,64,24807
Liver,208,176,22262
Lung,515,426,26095
Minor_Salivary_Gland,144,112,25579
Muscle_Skeletal,706,573,21031
Nerve_Tibial,532,426,25873
Ovary,167,136,25325
Pancreas,305,236,22615
Pituitary,237,213,26854
Prostate,221,175,26529
Skin_Not_Sun_Exposed_Suprapubic,517,417,25279
Skin_Sun_Exposed_Lower_leg,605,496,25196
Small_Intestine_Terminal_Ileum,174,137,26182
Spleen,227,173,25479
Stomach,324,255,24290
Testis,322,265,35007
Thyroid,574,472,26054
Uterus,129,105,25188
Vagina,141,119,25778
Whole_Blood,670,546,20315
